Home,Scenario,Cluster,HType,BESS_kWh,V2G_hours,total_hours,V2G_rate
1,T0,ClusterA,Apt,0.0,0,43680,0.0
1,T0,ClusterA,SF,0.0,0,43680,0.0
1,T0,ClusterB,Apt,6593.20818472819,0,43680,0.0
1,T0,ClusterB,SF,10183.521935236691,0,43680,0.0
1,T0,ClusterC,Apt,6218.4576486611395,0,43680,0.0
1,T0,ClusterC,SF,9655.342660528944,0,43680,0.0
1,T0,ClusterD,Apt,5204.413028564015,6464,43680,14.7985347985348
1,T0,ClusterD,SF,7240.566948010628,8155,43680,18.669871794871796
1,T0,ClusterE,Apt,0.0,0,43680,0.0
1,T0,ClusterE,SF,0.0,0,43680,0.0
1,T1,ClusterA,Apt,0.0,0,43680,0.0
1,T1,ClusterA,SF,0.0,0,43680,0.0
1,T1,ClusterB,Apt,6478.940649441965,0,43680,0.0
1,T1,ClusterB,SF,9589.12600524632,0,43680,0.0
1,T1,ClusterC,Apt,6113.424042245943,0,43680,0.0
1,T1,ClusterC,SF,9157.812218772106,0,43680,0.0
1,T1,ClusterD,Apt,5382.012757128903,7595,43680,17.38782051282051
1,T1,ClusterD,SF,7338.661125161593,8652,43680,19.807692307692307
1,T1,ClusterE,Apt,0.0,0,43680,0.0
1,T1,ClusterE,SF,0.0,0,43680,0.0
1,T2,ClusterA,Apt,0.0,0,43680,0.0
1,T2,ClusterA,SF,0.0,0,43680,0.0
1,T2,ClusterB,Apt,6615.398056081313,0,43680,0.0
1,T2,ClusterB,SF,9923.668425442034,0,43680,0.0
1,T2,ClusterC,Apt,6222.336768974733,0,43680,0.0
1,T2,ClusterC,SF,9443.886619534875,0,43680,0.0
1,T2,ClusterD,Apt,5279.248758210046,6717,43680,15.377747252747254
1,T2,ClusterD,SF,7262.993487747871,8021,43680,18.36309523809524
1,T2,ClusterE,Apt,0.0,0,43680,0.0
1,T2,ClusterE,SF,0.0,0,43680,0.0
1,T3,ClusterA,Apt,0.0,0,43680,0.0
1,T3,ClusterA,SF,0.0,0,43680,0.0
1,T3,ClusterB,Apt,6221.932804067812,0,43680,0.0
1,T3,ClusterB,SF,11088.298762742637,0,43680,0.0
1,T3,ClusterC,Apt,5826.108874611546,0,43680,0.0
1,T3,ClusterC,SF,10262.391992325003,0,43680,0.0
1,T3,ClusterD,Apt,4759.452583914108,4718,43680,10.801282051282051
1,T3,ClusterD,SF,7140.315749363649,7163,43680,16.398809523809526
1,T3,ClusterE,Apt,0.0,0,43680,0.0
1,T3,ClusterE,SF,0.0,0,43680,0.0
1,T4,ClusterA,Apt,0.0,0,43680,0.0
1,T4,ClusterA,SF,0.0,0,43680,0.0
1,T4,ClusterB,Apt,6492.14980117405,0,43680,0.0
1,T4,ClusterB,SF,10421.375665176545,0,43680,0.0
1,T4,ClusterC,Apt,6141.726946791609,0,43680,0.0
1,T4,ClusterC,SF,9938.569025120725,0,43680,0.0
1,T4,ClusterD,Apt,5106.906327825844,5992,43680,13.717948717948719
1,T4,ClusterD,SF,7511.866237584079,7731,43680,17.699175824175825
1,T4,ClusterE,Apt,0.0,0,43680,0.0
1,T4,ClusterE,SF,0.0,0,43680,0.0
